,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,status,Vgchartzscore,average_rating
12319,Hunter: The Reckoning,Action,M,GC,Interplay,High Voltage Software,7.1,,0.1,0.08,0.02,,0.0,2002,1,,7.1
12425,Bullet Witch,Shooter,M,X360,Atari,Cavia Inc.,6.6,,0.1,0.07,0.01,0.02,0.01,2007,1,,6.6
12614,"Blast Works: Build, Trade, Destroy",Shooter,E,Wii,Majesco,BudCat Creations,8.2,,0.1,0.09,0.0,,0.01,2008,1,,8.2
12613,Ballistic: Ecks vs. Sever,Shooter,T,GBA,BAM! Entertainment,Crawfish Interactive,7.3,,0.1,0.07,0.03,,0.0,2002,1,,7.3
12632,MindJack,Shooter,M,X360,Square Enix,FeelPlus,4.5,,0.1,0.07,0.02,,0.01,2011,1,,4.5
12629,Yooka-Laylee,Platform,E10,XOne,Sold Out,Playtonic Games,,9.3,0.1,0.05,0.04,,0.01,2017,1,,9.3
12618,Steel Battalion,Simulation,T,XB,Capcom,"Capcom Production Studio 4 / Nude Maker Co., Ltd.",7.7,,0.1,0.05,0.02,0.02,0.0,2002,1,,7.7
12611,Castlevania Double Pack,Platform,T,GBA,Konami,KCET,9.0,,0.1,0.07,0.03,,0.0,2006,1,,9.0
12609,Darkest of Days,Shooter,M,X360,Phantom EFX,8MonkeyLabs,4.6,,0.1,0.09,,,0.01,2009,1,,4.6
12607,NASCAR,Racing,E,PSP,EA Sports,EA Tiburon,7.2,,0.1,0.09,,,0.01,2006,1,,7.2
12592,Heatseeker,Simulation,T,Wii,Codemasters,IR Gurus,5.5,,0.1,0.08,0.0,,0.01,2007,1,,5.5
12591,Shantae and the Pirate's Curse,Platform,E10,3DS,WayForward Technologies,WayForward Technologies,7.7,,0.1,0.05,,0.04,0.01,2016,1,,7.7
12590,The Legend of Heroes: Trails in the Sky,Role-Playing,T,PSP,Xseed Games,Nihon Falcom Corporation,8.1,,0.1,0.06,0.0,0.03,,2011,1,,8.1
12587,Classic NES Series: Excitebike,Racing,E,GBA,Nintendo,Nintendo,6.4,,0.1,,,0.1,,2004,1,,6.4
12571,Shadow Tower,Role-Playing,T,PS,Agetec,From Software,5.7,,0.1,0.01,0.01,0.07,0.01,1999,1,,5.7
12564,Dead or Alive 5 Plus,Fighting,M,PSV,Tecmo Koei,Team Ninja,8.0,,0.1,,0.06,0.03,0.02,2013,1,,8.0
12563,Cartoon Network: Punch Time Explosion,Fighting,E10,3DS,Crave Entertainment,Papaya Studios,5.6,,0.1,0.07,0.02,,0.01,2011,1,,5.6
12556,Blue Dragon: Awakened Shadow,Role-Playing,E10,DS,D3 Publisher,Mistwalker Corporation / tri-Crescendo / Bird Studio,5.7,,0.1,0.06,0.0,0.03,0.0,2010,1,,5.7
12459,NBA Ballers: Rebound,Sports,E,PSP,Midway Games,Backbone Entertainment,7.3,,0.1,0.09,,,0.01,2006,1,,7.3
12581,Ice Age 2: The Meltdown,Platform,E10,XB,Vivendi Games,Eurocom Entertainment Software,6.8,,0.1,0.07,0.02,,0.0,2006,1,,6.8
12508,Universal Studios Theme Parks Adventure,Misc,T,GC,Kemco,Kemco,5.1,,0.1,0.08,0.02,,0.0,2001,1,,5.1
12486,College Hoops 2K6,Sports,E,XB,2K Sports,Visual Concepts,8.3,,0.1,0.07,0.02,,0.0,2005,1,,8.3
12485,Dragon Ball: Evolution,Fighting,T,PSP,Namco Bandai,Dimps Corporation,3.4,,0.1,0.09,,,0.01,2009,1,,3.4
12491,Cubic Ninja,Platform,E,3DS,Ubisoft,AQ Interactive,5.5,,0.1,0.05,0.04,,0.01,2011,1,,5.5
12488,"Warhammer 40,000: Dawn of War II - Chaos Rising",Strategy,M,PC,THQ,Relic,8.6,,0.1,0.08,0.01,,0.01,2010,1,,8.6
12497,Harry Potter and the Deathly Hallows - Part 2,Action,E10,PC,Electronic Arts,EA Bright Light,4.3,,0.1,0.05,0.04,,0.01,2011,1,,4.3
12498,Opoona,Role-Playing,E10,Wii,KOEI,ArtePiazza,6.4,,0.1,0.08,0.0,0.01,0.01,2008,1,,6.4
12481,Thor: God of Thunder,Action,T,3DS,Sega,WayForward Technologies,6.0,,0.1,0.06,0.03,,0.01,2011,1,,6.0
12605,Ar tonelico: Melody of Elemia,Role-Playing,T,PS2,Nippon Ichi Software,Gust,7.0,,0.1,,,0.1,,2007,1,,7.0
12554,Dead or Alive 5 Last Round,Fighting,M,XOne,Tecmo Koei,Team Ninja,7.5,,0.1,0.05,0.03,0.01,0.01,2015,1,,7.5
12519,The BIGS 2,Sports,E10,PSP,2K Sports,Blue Castle Games,6.8,,0.1,0.09,,,0.01,2009,1,,6.8
12475,Over the Hedge,Platform,E10,XB,Activision,Edge of Reality,6.6,,0.1,0.07,0.02,,0.0,2006,1,,6.6
12458,Marvel vs. Capcom: Clash of Super Heroes,Fighting,T,DC,Capcom,Capcom,8.5,,0.1,,,0.1,,1999,1,,8.5
12449,Disney's The Jungle Book,Platform,E,GBA,Ubisoft,Visual Impact,5.0,,0.1,0.07,0.03,,0.0,2003,1,,5.0
12447,Spider-Man: Web of Shadows,Action,E10,DS,Activision,Griptonite Games,7.9,,0.1,0.09,0.0,,0.01,2008,1,,7.9
12438,Lode Runner 3-D,Action,E,N64,Infogrames,Big Bang,7.0,,0.1,0.08,0.02,,0.0,1999,1,,7.0
12547,Harvest Moon: Frantic Farming,Puzzle,E,DS,Natsume,Natsume,7.0,,0.1,0.08,0.01,,0.01,2009,1,,7.0
12480,NHL 2K6,Sports,E10,X360,2K Sports,Kush Games,7.3,,0.1,0.09,0.0,,0.01,2005,1,,7.3
12237,Stardew Valley,Simulation,E10,PS4,505 Games,ConcernedApe,8.8,,0.1,0.04,0.04,,0.02,2017,1,,8.8
12429,Aidyn Chronicles: The First Mage,Role-Playing,T,N64,THQ,H2O Interactive,6.0,,0.1,0.08,0.02,,0.0,2001,1,,6.0
12203,Banjo-Pilot,Racing,E,GBA,THQ,Rare Ltd.,6.2,,0.1,0.07,0.03,,0.0,2005,1,,6.2
12342,X-Men: The Official Game,Action,T,XB,Activision,"Z-Axis, Ltd.",4.8,,0.1,0.08,0.02,,0.0,2006,1,,4.8
12367,Guitar Hero: Van Halen,Misc,T,PS2,Activision,Neversoft Entertainment,4.9,,0.1,0.05,0.04,,0.01,2009,1,,4.9
12365,X-Men: Destiny,Action,T,Wii,Activision,Silicon Knights,3.3,,0.1,0.07,0.02,,0.01,2011,1,,3.3
12350,Record of Agarest War Zero,Strategy,T,X360,Aksys Games,Compile Heart,6.5,,0.1,0.09,,,0.01,2011,1,,6.5
12332,Surf's Up,Sports,E10,X360,Ubisoft,Ubisoft Montreal,6.2,,0.1,0.09,0.0,,0.01,2007,1,,6.2
12329,Baten Kaitos Origins,Role-Playing,T,GC,Nintendo,tri-Crescendo / Monolith Soft,7.5,,0.1,0.06,0.02,0.02,0.0,2006,1,,7.5
12314,The Elder Scrolls Online: Summerset,MMO,M,PS4,Bethesda Softworks,ZeniMax Online Studios,7.5,,0.1,0.08,,,0.02,2018,1,,7.5
12280,Miami Law,Adventure,T,DS,Hudson Entertainment,Gaijinworks,5.5,,0.1,0.09,0.0,,0.01,2009,1,6.8,6.15
12249,Phantom Brave: The Hermuda Triangle,Role-Playing,T,PSP,NIS America,Nippon Ichi Software,7.2,,0.1,0.06,,0.03,0.01,2011,1,,7.2
12300,Dungeons & Dragons Tactics,Strategy,T,PSP,Atari,Kuju Entertainment,5.2,,0.1,0.09,0.0,,0.01,2007,1,,5.2
12293,Blitz: The League II,Sports,M,X360,Midway Games,Midway Games,6.6,,0.1,0.08,0.01,,0.01,2008,1,,6.6
12292,The King of Fighters: Dream Match 1999,Fighting,T,DC,SNK,SNK Corporation,7.2,,0.1,,,0.1,0.0,1999,1,,7.2
12286,America's Next Top Model,Simulation,E10,DS,Conspiracy Entertainment,Independent Arts Software,,,0.1,0.1,0.0,,0.01,2010,1,3.5,3.5
12274,Astro Boy: The Video Game,Action,E,DS,D3 Publisher,Art Corporation,4.4,,0.1,0.09,0.0,,0.01,2009,1,,4.4
12273,Vandal Hearts II,Strategy,M,PS,Konami,Konami,7.2,,0.1,0.06,0.04,,0.01,1999,1,,7.2
12279,The Book of Unwritten Tales,Adventure,T,PC,DreamCatcher Interactive,KING Art Games,7.9,,0.1,0.0,0.08,,0.02,2011,1,,7.9
12306,Agatha Christie: The ABC Murders,Adventure,T,DS,DreamCatcher Interactive,DreamCatcher Interactive,6.0,,0.1,0.08,0.01,,0.01,2009,1,,6.0
12379,Beach Spikers: Virtua Beach Volleyball,Sports,E,GC,Sega,Sega-AM2,7.1,,0.1,0.08,0.02,,0.0,2002,1,,7.1
12308,Blue Stinger,Adventure,M,DC,Activision,Climax Entertainment,6.7,,0.1,,,0.1,,1999,1,,6.7
12219,JU-ON: The Grudge,Adventure,M,Wii,Xseed Games,FeelPlus,4.0,,0.1,0.07,0.01,0.01,0.01,2009,1,,4.0
12232,Gretzky NHL,Sports,E,PSP,Sony Computer Entertainment,989 Sports,6.0,,0.1,0.1,,,0.01,2005,1,,6.0
12258,Yu-Gi-Oh! 5D's Wheelie Breakers,Racing,E,Wii,Konami,Konami,7.5,,0.1,0.09,0.01,,0.01,2009,1,6.7,7.1
12229,Tokyo Xanadu eX+,Role-Playing,,PS4,Aksys Games,Nihon Falcom Corporation,,,0.1,0.05,,0.05,0.01,2017,1,7.0,7.0
12221,Ridge Racer 2,Racing,,PSP,Unknown,Namco Bandai Games,7.5,,0.1,,0.03,0.07,0.01,2020,1,,7.5
