,Unnamed: 0,index,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,status,Vgchartzscore,average_rating
1,1,344,Teenage Mutant Ninja Turtles,Platform,,NES,Ultra Games,Konami,5.9,,4.17,3.38,0.44,0.31,0.04,1989,1,,5.9
8,8,5727,Final Fantasy Adventure,Adventure,,GB,Square,Square,9.0,,0.38,,,0.38,,1991,1,,9.0
17,17,3144,Final Fantasy Legend III,Role-Playing,,GB,Square,SquareSoft,7.0,,0.76,,,0.76,,1993,1,,7.0
22,22,9133,Shining Force II,Strategy,,GEN,Sega,Camelot Software Planning,9.0,,0.19,,,0.19,,1994,1,,9.0
28,28,2228,Virtua Fighter,Fighting,T,SAT,Sega,Sega-AM2,9.0,,1.07,0.17,0.12,0.77,0.02,1995,1,,9.0
29,29,3000,Ridge Racer,Racing,E,PS,Namco,Namco,9.0,,0.79,,,0.74,0.05,1995,1,,9.0
31,31,1131,Air Combat,Simulation,E,PS,Namco,Namco,7.0,,1.83,0.92,0.33,0.52,0.05,1995,1,,7.0
35,35,506,Tekken,Fighting,T,PS,Namco,Namco,8.3,,3.24,0.95,1.3,0.77,0.22,1995,1,,8.3
36,36,5966,Breath of Fire II,Role-Playing,E,SNES,Capcom,Capcom,8.3,,0.36,,,0.36,,1995,1,,8.3
40,40,4042,Beyond The Beyond,Role-Playing,E,PS,Sony Computer Entertainment,Camelot Software Planning,4.8,,0.57,0.11,0.08,0.35,0.04,1996,1,,4.8
44,44,5497,Fighting Vipers,Fighting,T,SAT,Sega,Sega-AM2,8.0,,0.4,,,0.4,0.0,1996,1,,8.0
46,46,5002,Persona,Role-Playing,E,PS,Atlus,Atlus Co.,8.1,,0.45,,,0.42,0.03,1996,1,,8.1
47,47,2821,Street Fighter Alpha 2,Fighting,T,PS,Capcom,Capcom,8.2,,0.85,0.14,0.09,0.57,0.06,1996,1,,8.2
