,Unnamed: 0,index,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,status,Vgchartzscore,average_rating
1,1,344,Teenage Mutant Ninja Turtles,Platform,,NES,Ultra Games,Konami,5.9,,4.17,3.38,0.44,0.31,0.04,1989,1,,5.9
14,14,921,SimCity 2000,Simulation,E,PC,Maxis,Maxis,8.0,,2.14,1.2,0.84,,0.1,1993,1,,8.0
23,23,426,Doom II,Shooter,M,PC,GT Interactive,id Software,9.3,,3.61,2.05,1.4,,0.16,1994,1,,9.3
28,28,2228,Virtua Fighter,Fighting,T,SAT,Sega,Sega-AM2,9.0,,1.07,0.17,0.12,0.77,0.02,1995,1,,9.0
29,29,3000,Ridge Racer,Racing,E,PS,Namco,Namco,9.0,,0.79,,,0.74,0.05,1995,1,,9.0
30,30,9873,King's Field,Role-Playing,T,PS,ASCII Entertainment,From Software,7.1,,0.16,0.09,0.06,,0.01,1995,1,,7.1
31,31,1131,Air Combat,Simulation,E,PS,Namco,Namco,7.0,,1.83,0.92,0.33,0.52,0.05,1995,1,,7.0
33,33,1399,Twisted Metal,Action,T,PS,Sony Computer Entertainment,SingleTrac,7.0,,1.56,1.32,0.19,,0.05,1995,1,,7.0
34,34,4780,WipEout,Racing,E,PS,Psygnosis,Psygnosis,8.0,,0.47,0.26,0.18,,0.03,1995,1,,8.0
35,35,506,Tekken,Fighting,T,PS,Namco,Namco,8.3,,3.24,0.95,1.3,0.77,0.22,1995,1,,8.3
37,37,553,Rayman,Platform,E,PS,Ubisoft,Ubisoft Montpellier,7.0,,3.03,1.54,1.33,,0.16,1995,1,,7.0
40,40,4042,Beyond The Beyond,Role-Playing,E,PS,Sony Computer Entertainment,Camelot Software Planning,4.8,,0.57,0.11,0.08,0.35,0.04,1996,1,,4.8
41,41,10737,Bottom of the 9th,Sports,E,PS,Konami,Konami,8.0,,0.14,0.08,0.05,,0.01,1996,1,,8.0
42,42,3475,Contra: Legacy of War,Shooter,T,PS,Konami,Appaloosa Interactive,6.5,,0.67,0.37,0.25,,0.04,1996,1,,6.5
45,45,614,Command & Conquer: Red Alert,Strategy,T,PC,Virgin Interactive,Westwood Studios,9.3,,2.85,1.37,1.34,,0.14,1996,1,,9.3
46,46,5002,Persona,Role-Playing,E,PS,Atlus,Atlus Co.,8.1,,0.45,,,0.42,0.03,1996,1,,8.1
47,47,2821,Street Fighter Alpha 2,Fighting,T,PS,Capcom,Capcom,8.2,,0.85,0.14,0.09,0.57,0.06,1996,1,,8.2
48,48,2900,Casper,Adventure,E,PS,Interplay,Funcom,4.9,,0.83,0.46,0.31,,0.05,1996,1,,4.9
49,49,10459,Blazing Dragons,Adventure,E,PS,Mindscape,Illusions Game Company,6.6,,0.15,0.08,0.06,,0.01,1996,1,,6.6
50,50,287,Tomb Raider,Action,T,PS,Eidos Interactive,Core Design Ltd.,8.9,,4.63,2.29,1.97,0.13,0.24,1996,1,,8.9
51,51,5092,Blood Omen: Legacy of Kain,Role-Playing,M,PS,Crystal Dynamics,Silicon Knights,7.8,,0.44,0.25,0.17,,0.03,1996,1,,7.8
53,53,3070,Andretti Racing,Racing,E,PS,EA Sports,Stormfront Studios,7.3,,0.77,0.43,0.29,,0.05,1996,1,,7.3
55,55,2635,Tobal No.1,Fighting,T,PS,Sony Computer Entertainment,DreamFactory,7.7,,0.92,0.12,0.08,0.66,0.06,1996,1,,7.7
57,57,7642,WipEout XL,Racing,E,PS,Sony Computer Entertainment,Psygnosis,8.8,,0.25,0.14,0.1,,0.02,1996,1,,8.8
58,58,9035,Allied General,Strategy,E,PS,SSI,SSI,6.3,,0.19,0.11,0.07,,0.01,1996,1,,6.3
59,59,9184,Bubsy 3D,Platform,E,PS,Accolade,Eidetic,5.8,,0.19,0.1,0.07,,0.01,1996,1,,5.8
