,index,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,status,Vgchartzscore,average_rating
0,1,Super Mario Bros.,Platform,,NES,Nintendo,Nintendo EAD,10.0,,40.24,,,,,1985,1,,10.0
1,344,Teenage Mutant Ninja Turtles,Platform,,NES,Ultra Games,Konami,5.9,,4.17,3.38,0.44,0.31,0.04,1989,1,,5.9
2,2160,The Final Fantasy Legend,Role-Playing,,GB,Square,Square,6.0,,1.1,,,,,1990,1,,6.0
3,1940,Final Fantasy,Role-Playing,,NES,Nintendo,Square,8.5,,1.2,,,,,1990,1,,8.5
4,1509,Final Fight,Action,,SNES,Capcom,Capcom,10.0,,1.48,,,,,1991,1,,10.0
5,18,Super Mario World,Platform,E,SNES,Nintendo,Nintendo EAD,8.5,,20.61,,,,,1991,1,,8.5
6,1221,Metroid II: Return of Samus,Adventure,E,GB,Nintendo,Intelligent Systems,7.3,,1.72,,,,,1991,1,,7.3
7,1246,Final Fantasy II,Role-Playing,,SNES,Square,Square,10.0,,1.7,,,,,1991,1,,10.0
8,5727,Final Fantasy Adventure,Adventure,,GB,Square,Square,9.0,,0.38,,,0.38,,1991,1,,9.0
9,389,Dragon Quest III,Role-Playing,,NES,Enix,ChunSoft,,8.0,3.9,,,,,1992,1,,8.0
10,781,Final Fantasy V,Role-Playing,,SNES,Square,SquareSoft,7.5,,2.4,,,,,1992,1,,7.5
11,106,Super Mario Kart,Racing,E,SNES,Nintendo,Nintendo EAD,10.0,,8.76,,,,,1992,1,,10.0
12,72,Super Mario Land 2: 6 Golden Coins,Platform,E,GB,Nintendo,Nintendo R&D1,9.0,,11.18,,,,,1992,1,,9.0
13,289,The Legend of Zelda: A Link to the Past,Adventure,,SNES,Nintendo,Nintendo EAD,10.0,,4.61,,,,,1992,1,,10.0
14,921,SimCity 2000,Simulation,E,PC,Maxis,Maxis,8.0,,2.14,1.2,0.84,,0.1,1993,1,,8.0
15,80,Super Mario All-Stars,Platform,E,SNES,Nintendo,Nintendo EAD,,9.5,10.55,,,,,1993,1,,9.5
16,1154,Secret of Mana,Role-Playing,,SNES,Square,SquareSoft,9.1,,1.8,,,,,1993,1,,9.1
17,3144,Final Fantasy Legend III,Role-Playing,,GB,Square,SquareSoft,7.0,,0.76,,,0.76,,1993,1,,7.0
18,359,Street Fighter II Turbo,Fighting,,SNES,Capcom,Capcom,9.0,,4.1,,,,,1993,1,,9.0
19,595,Final Fantasy III,Role-Playing,,SNES,Square,SquareSoft,9.1,,2.9,,,,,1994,1,,9.1
20,235,Super Mario Land 3: Wario Land,Platform,E,GB,Nintendo,Nintendo R&D1,7.9,,5.19,,,,,1994,1,,7.9
21,99,Donkey Kong Country,Platform,E,SNES,Nintendo,Rare Ltd.,9.0,,9.3,,,,,1994,1,,9.0
22,9133,Shining Force II,Strategy,,GEN,Sega,Camelot Software Planning,9.0,,0.19,,,0.19,,1994,1,,9.0
23,426,Doom II,Shooter,M,PC,GT Interactive,id Software,9.3,,3.61,2.05,1.4,,0.16,1994,1,,9.3
24,1591,Super Metroid,Adventure,E,SNES,Nintendo,Intelligent Systems,8.0,,1.42,,,,,1994,1,,8.0
25,354,Super Mario World 2: Yoshi's Island,Platform,E,SNES,Nintendo,Nintendo EAD,9.0,,4.12,,,,,1995,1,,9.0
26,236,Donkey Kong Country 2: Diddy's Kong Quest,Platform,E,SNES,Nintendo,Rare Ltd.,9.3,,5.15,,,,,1995,1,,9.3
27,178,Myst,Adventure,E,PC,Broderbund,Cyan Worlds,8.9,,6.0,,,,,1995,1,,8.9
28,2228,Virtua Fighter,Fighting,T,SAT,Sega,Sega-AM2,9.0,,1.07,0.17,0.12,0.77,0.02,1995,1,,9.0
29,3000,Ridge Racer,Racing,E,PS,Namco,Namco,9.0,,0.79,,,0.74,0.05,1995,1,,9.0
30,9873,King's Field,Role-Playing,T,PS,ASCII Entertainment,From Software,7.1,,0.16,0.09,0.06,,0.01,1995,1,,7.1
31,1131,Air Combat,Simulation,E,PS,Namco,Namco,7.0,,1.83,0.92,0.33,0.52,0.05,1995,1,,7.0
32,833,Chrono Trigger,Role-Playing,E,SNES,Square,SquareSoft,8.8,,2.3,,,,,1995,1,,8.8
33,1399,Twisted Metal,Action,T,PS,Sony Computer Entertainment,SingleTrac,7.0,,1.56,1.32,0.19,,0.05,1995,1,,7.0
34,4780,WipEout,Racing,E,PS,Psygnosis,Psygnosis,8.0,,0.47,0.26,0.18,,0.03,1995,1,,8.0
35,506,Tekken,Fighting,T,PS,Namco,Namco,8.3,,3.24,0.95,1.3,0.77,0.22,1995,1,,8.3
36,5966,Breath of Fire II,Role-Playing,E,SNES,Capcom,Capcom,8.3,,0.36,,,0.36,,1995,1,,8.3
37,553,Rayman,Platform,E,PS,Ubisoft,Ubisoft Montpellier,7.0,,3.03,1.54,1.33,,0.16,1995,1,,7.0
38,567,Warcraft II: Tides of Darkness,Strategy,T,PC,Blizzard Entertainment,Blizzard Entertainment,9.3,,3.0,,,,,1996,1,,9.3
39,2338,Tomb Raider,Action,T,PC,Eidos Interactive,Core Design Ltd.,8.7,,1.03,0.96,0.07,,,1996,1,,8.7
40,4042,Beyond The Beyond,Role-Playing,E,PS,Sony Computer Entertainment,Camelot Software Planning,4.8,,0.57,0.11,0.08,0.35,0.04,1996,1,,4.8
41,10737,Bottom of the 9th,Sports,E,PS,Konami,Konami,8.0,,0.14,0.08,0.05,,0.01,1996,1,,8.0
42,3475,Contra: Legacy of War,Shooter,T,PS,Konami,Appaloosa Interactive,6.5,,0.67,0.37,0.25,,0.04,1996,1,,6.5
43,4381,Wayne Gretzky's 3D Hockey,Sports,E,N64,Midway Games,William's Entertainment,8.1,,0.53,0.49,0.03,,0.0,1996,1,,8.1
44,5497,Fighting Vipers,Fighting,T,SAT,Sega,Sega-AM2,8.0,,0.4,,,0.4,0.0,1996,1,,8.0
