,years_since_release,average_rating,top_10_publisher,Genre,Platform,total_shipped_in_thousands,pred
1,32.30684931506849,5.9,False,Platform,NES,310.0,148.7813933932564
8,30.306849315068494,9.0,True,Adventure,GB,380.0,917.1823191360263
17,28.304109589041097,7.0,True,Role-Playing,GB,760.0,287.3684154104797
22,27.304109589041097,9.0,False,Strategy,GEN,190.0,553.6024956465252
28,26.304109589041097,9.0,False,Fighting,SAT,770.0,521.4628322879889
29,26.304109589041097,9.0,True,Racing,PS,740.0,721.9145419580361
31,26.304109589041097,7.0,True,Simulation,PS,520.0,254.97034582887912
35,26.304109589041097,8.3,True,Fighting,PS,770.0,501.5187208677857
36,26.304109589041097,8.3,False,Role-Playing,SNES,360.0,362.26361629984575
40,25.304109589041097,4.8,True,Role-Playing,PS,350.0,76.43975106519333
44,25.304109589041097,8.0,False,Fighting,SAT,400.0,291.9111073991869
46,25.304109589041097,8.1,False,Role-Playing,PS,420.0,307.5037570672834
47,25.304109589041097,8.2,False,Fighting,PS,570.0,323.92929975489625
50,25.304109589041097,8.9,False,Action,PS,130.0,466.28223898543655
52,25.304109589041097,9.1,False,Platform,SAT,430.0,517.426282639351
55,25.304109589041097,7.7,True,Fighting,PS,660.0,345.71134671474124
63,25.304109589041097,6.6,False,Fighting,SAT,230.0,140.8812961054029
66,25.304109589041097,8.0,False,Fighting,SNES,170.0,291.9111073991869
70,25.304109589041097,7.3,False,Role-Playing,PS,110.0,202.79254216553653
72,25.304109589041097,8.1,False,Fighting,SAT,320.0,307.5037570672834
73,25.304109589041097,9.1,True,Fighting,PS,1360.0,716.3263318110127
76,25.304109589041097,9.0,False,Strategy,SAT,300.0,491.1890527882193
77,25.304109589041097,8.1,False,Role-Playing,PS,210.0,307.5037570672834
80,24.301369863013697,8.5,True,Shooter,PS,330.0,493.7035353432303
81,24.301369863013697,8.9,True,Role-Playing,PS,460.0,607.9466372521862
82,24.301369863013697,9.1,True,Action,N64,170.0,674.629102838973
83,24.301369863013697,8.6,True,Fighting,PS,460.0,520.0750781567097
86,24.301369863013697,8.9,False,Shooter,N64,50.0,439.1400323944598
87,24.301369863013697,8.2,True,Fighting,PS,430.0,422.344477288991
88,24.301369863013697,8.5,True,Simulation,PS,560.0,493.7035353432303
90,24.301369863013697,7.1,True,Strategy,PS,90.0,238.26977524311778
91,24.301369863013697,7.4,True,Puzzle,PS,1000.0,278.5276870625969
92,24.301369863013697,9.15,False,Platform,PS,210.0,500.1526154689309
94,24.301369863013697,6.1,False,Puzzle,N64,310.0,102.28417947110495
95,24.301369863013697,9.2,True,Misc,PS,1460.0,710.6649198731133
97,24.301369863013697,7.6,False,Adventure,PS,200.0,223.2572409922829
98,24.301369863013697,8.6,True,Platform,PS,1310.0,520.0750781567097
101,24.301369863013697,8.5,True,Racing,PS,230.0,493.7035353432303
106,24.301369863013697,7.2,True,Simulation,PS,160.0,250.9971331191629
109,24.301369863013697,7.3,False,Action,SAT,170.0,190.98802418401775
110,24.301369863013697,6.5,True,Platform,N64,70.0,174.3693385119828
112,24.301369863013697,8.7,False,Role-Playing,SAT,420.0,395.7340483141768
119,24.301369863013697,7.7,False,Role-Playing,PS,190.0,235.18269314679114
120,24.301369863013697,7.9,False,Fighting,SAT,180.0,260.9786444382585
122,24.301369863013697,6.1,False,Adventure,PS,380.0,102.28417947110495
123,24.301369863013697,7.6,False,Role-Playing,PS,90.0,223.2572409922829
