,years_since_release,average_rating,top_10_publisher,Genre,Platform,total_shipped_in_thousands,pred
1,32.28219178082192,5.9,False,Platform,NES,3380.0,1503.1148867415864
14,28.279452054794522,8.0,False,Simulation,PC,1200.0,3560.4576858164955
23,27.279452054794522,9.3,False,Shooter,PC,2050.0,7169.51168495408
28,26.279452054794522,9.0,False,Fighting,SAT,170.0,5312.028166153004
30,26.279452054794522,7.1,False,Role-Playing,PS,90.0,1620.4382424897906
31,26.279452054794522,7.0,True,Simulation,PS,920.0,1877.6712723244298
33,26.279452054794522,7.0,True,Action,PS,1320.0,1877.6712723244298
34,26.279452054794522,8.0,False,Racing,PS,260.0,2843.657398117867
35,26.279452054794522,8.3,True,Fighting,PS,950.0,4230.752195014541
37,26.279452054794522,7.0,False,Platform,PS,1540.0,1522.2787125631298
39,25.279452054794522,8.7,False,Action,PC,960.0,3935.783143672159
40,25.279452054794522,4.8,True,Role-Playing,PS,110.0,424.38738790038786
41,25.279452054794522,8.0,False,Sports,PS,80.0,2541.3412931367416
42,25.279452054794522,6.5,False,Shooter,PS,370.0,995.3787090397942
43,25.279452054794522,8.1,False,Sports,N64,490.0,2705.2119855787932
45,25.279452054794522,9.3,False,Strategy,PC,1370.0,5726.127577650688
47,25.279452054794522,8.2,False,Fighting,PS,140.0,2879.6493830572595
48,25.279452054794522,4.9,False,Adventure,PS,460.0,366.2481090914383
49,25.279452054794522,6.6,False,Adventure,PS,80.0,1059.5626888668792
50,25.279452054794522,8.9,False,Action,PS,2290.0,4459.72193193056
51,25.279452054794522,7.8,False,Role-Playing,PS,250.0,2242.7784459457944
53,25.279452054794522,7.3,True,Racing,PS,430.0,2024.045226779335
55,25.279452054794522,7.7,True,Fighting,PS,120.0,2598.803550618737
57,25.279452054794522,8.8,True,Racing,PS,140.0,5167.671025385581
58,25.279452054794522,6.3,False,Strategy,PS,110.0,878.4392400252402
59,25.279452054794522,5.8,False,Platform,PS,100.0,642.717579513747
61,25.279452054794522,6.9,False,Puzzle,PS,110.0,1278.0315820210321
62,25.279452054794522,8.5,False,Shooter,PS,850.0,3473.397936114887
64,25.279452054794522,6.0,False,Racing,PS,70.0,728.2773417034431
65,25.279452054794522,8.3,True,Sports,PS,1150.0,3780.97068280295
69,25.279452054794522,6.3,True,Sports,PS,150.0,1083.5204564482772
70,25.279452054794522,7.3,False,Role-Playing,PS,80.0,1640.9480229076125
73,25.279452054794522,9.1,True,Fighting,PS,2260.0,6233.181712920374
74,25.279452054794522,7.0,True,Simulation,PC,3220.0,1678.0514918755673
75,25.279452054794522,8.7,True,Racing,PS,2120.0,4854.634622413457
77,25.279452054794522,8.1,False,Role-Playing,PS,210.0,2705.2119855787932
79,24.276712328767122,8.6,True,Sports,PS,1580.0,4074.461541179802
80,24.276712328767122,8.5,True,Shooter,PS,380.0,3827.647303463497
81,24.276712328767122,8.9,True,Role-Playing,PS,260.0,4914.565777062868
82,24.276712328767122,9.1,True,Action,N64,390.0,5568.80193389748
83,24.276712328767122,8.6,True,Fighting,PS,610.0,4074.461541179802
84,24.276712328767122,5.5,True,Strategy,PC,2300.0,587.1953676796427
85,24.276712328767122,8.3,False,Platform,PS,750.0,2738.6082121699046
86,24.276712328767122,8.9,False,Shooter,N64,1140.0,3984.3709461734925
87,24.276712328767122,8.2,True,Fighting,PS,390.0,3173.3427608090988
88,24.276712328767122,8.5,True,Simulation,PS,160.0,3827.647303463497
89,24.276712328767122,8.2,False,Adventure,PC,910.0,2572.714512730391
90,24.276712328767122,7.1,True,Strategy,PS,10.0,1595.862893285785
91,24.276712328767122,7.4,True,Puzzle,PS,130.0,1924.9103423751637
92,24.276712328767122,9.15,False,Platform,PS,580.0,4658.0649402577765
93,24.276712328767122,5.3,False,Racing,PS,80.0,420.12702022479635
94,24.276712328767122,6.1,False,Puzzle,N64,500.0,692.6073432623365
95,24.276712328767122,9.2,True,Misc,PS,260.0,5927.889251860213
96,24.276712328767122,8.4,False,Strategy,PS,220.0,2915.199064121887
97,24.276712328767122,7.6,False,Adventure,PS,2300.0,1768.323579133275
98,24.276712328767122,8.6,True,Platform,PS,3780.0,4074.461541179802
99,24.276712328767122,8.8,False,Role-Playing,PS,130.0,3743.014028720775
101,24.276712328767122,8.5,True,Racing,PS,60.0,3827.647303463497
103,24.276712328767122,7.3,True,Strategy,PS,180.0,1808.3071362769194
104,24.276712328767122,7.0,True,Racing,PS,170.0,1499.192037634018
105,24.276712328767122,7.8,False,Strategy,PS,230.0,2003.7261100855799
106,24.276712328767122,7.2,True,Simulation,PS,130.0,1698.767276129434
107,24.276712328767122,3.1,False,Fighting,N64,170.0,106.25216780463144
108,24.276712328767122,8.8,False,Simulation,PS,240.0,3743.014028720775
110,24.276712328767122,6.5,True,Platform,N64,250.0,1096.8966705389112
114,24.276712328767122,7.6,False,Platform,PS,1570.0,1768.323579133275
115,24.276712328767122,7.1,True,Action,N64,210.0,1595.862893285785
116,24.276712328767122,5.4,False,Action,N64,150.0,447.2176380429478
