,years_since_release,average_rating,top_10_publisher,Genre,Platform,total_shipped_in_thousands,pred
1,32.3041095890411,5.9,False,Platform,NES,40.0,63.00973459931181
14,28.301369863013697,8.0,False,Simulation,PC,100.0,189.39103234998373
23,27.301369863013697,9.3,False,Shooter,PC,160.0,387.9081777787649
28,26.301369863013697,9.0,False,Fighting,SAT,20.0,319.13222503736563
29,26.301369863013697,9.0,True,Racing,PS,50.0,392.5260491352917
30,26.301369863013697,7.1,False,Role-Playing,PS,10.0,108.03610010842087
31,26.301369863013697,7.0,True,Simulation,PS,50.0,125.51878711393094
33,26.301369863013697,7.0,True,Action,PS,50.0,125.51878711393094
34,26.301369863013697,8.0,False,Racing,PS,30.0,180.46408575251476
35,26.301369863013697,8.3,True,Fighting,PS,220.0,263.3677362847505
37,26.301369863013697,7.0,False,Platform,PS,160.0,102.04950704266189
40,25.301369863013697,4.8,True,Role-Playing,PS,40.0,34.95817058505583
41,25.301369863013697,8.0,False,Sports,PS,10.0,176.15966382744534
42,25.301369863013697,6.5,False,Shooter,PS,40.0,74.90945908498576
45,25.301369863013697,9.3,False,Strategy,PC,140.0,369.6241252299969
46,25.301369863013697,8.1,False,Role-Playing,PS,30.0,186.493826651916
47,25.301369863013697,8.2,False,Fighting,PS,60.0,197.4342288331287
48,25.301369863013697,4.9,False,Adventure,PS,50.0,30.089076733240532
49,25.301369863013697,6.6,False,Adventure,PS,10.0,79.30391880668203
50,25.301369863013697,8.9,False,Action,PS,240.0,294.2580549204068
51,25.301369863013697,7.8,False,Role-Playing,PS,30.0,157.1775438494353
53,25.301369863013697,7.3,True,Racing,PS,50.0,145.37789745765946
55,25.301369863013697,7.7,True,Fighting,PS,60.0,182.6124290466688
57,25.301369863013697,8.8,True,Racing,PS,20.0,341.87567040135144
58,25.301369863013697,6.3,False,Strategy,PS,10.0,66.83757526695199
59,25.301369863013697,5.8,False,Platform,PS,10.0,50.2609564613326
61,25.301369863013697,6.9,False,Puzzle,PS,10.0,94.09544725370205
62,25.301369863013697,8.5,False,Shooter,PS,100.0,234.2590674557898
64,25.301369863013697,6.0,False,Racing,PS,10.0,56.330904383870916
65,25.301369863013697,8.3,True,Sports,PS,50.0,257.0858999088708
69,25.301369863013697,6.3,True,Sports,PS,20.0,82.208837889209
70,25.301369863013697,7.3,False,Role-Playing,PS,20.0,118.1953961759261
73,25.301369863013697,9.1,True,Fighting,PS,230.0,405.6412923299808
74,25.301369863013697,7.0,True,Simulation,PC,200.0,122.52491818423007
75,25.301369863013697,8.7,True,Racing,PS,70.0,322.93134979256854
77,25.301369863013697,8.1,False,Role-Playing,PS,40.0,186.493826651916
79,24.2986301369863,8.6,True,Sports,PS,40.0,297.7413707318636
80,24.2986301369863,8.5,True,Shooter,PS,100.0,281.24265943421244
81,24.2986301369863,8.9,True,Role-Playing,PS,60.0,353.2751958101776
82,24.2986301369863,9.1,True,Action,N64,60.0,395.9397647294343
