,years_since_release,average_rating,top_10_publisher,Genre,Platform,total_shipped_in_thousands,pred
1,32.31506849315068,5.9,False,Platform,NES,440.0,419.56877974375226
14,28.312328767123287,8.0,False,Simulation,PC,840.0,1231.5686343997302
23,27.312328767123287,9.3,False,Shooter,PC,1400.0,2656.8501284975055
28,26.312328767123287,9.0,False,Fighting,SAT,120.0,2043.28612882911
30,26.312328767123287,7.1,False,Role-Playing,PS,60.0,600.3340092754167
31,26.312328767123287,7.0,True,Simulation,PS,330.0,693.8041203960026
33,26.312328767123287,7.0,True,Action,PS,190.0,693.8041203960026
34,26.312328767123287,8.0,False,Racing,PS,180.0,1072.4146664778898
35,26.312328767123287,8.3,True,Fighting,PS,1300.0,1603.9589499661265
37,26.312328767123287,7.0,False,Platform,PS,1330.0,562.8547077427304
39,25.312328767123287,8.7,False,Action,PC,70.0,1571.416527971977
40,25.312328767123287,4.8,True,Role-Playing,PS,80.0,156.7699302198434
41,25.312328767123287,8.0,False,Sports,PS,50.0,1000.7251334886629
42,25.312328767123287,6.5,False,Shooter,PS,250.0,380.50918493870347
43,25.312328767123287,8.1,False,Sports,N64,30.0,1067.3612982278282
45,25.312328767123287,9.3,False,Strategy,PC,1340.0,2313.5089388039837
47,25.312328767123287,8.2,False,Fighting,PS,90.0,1138.434623884163
48,25.312328767123287,4.9,False,Adventure,PS,310.0,135.64969993113957
49,25.312328767123287,6.6,False,Adventure,PS,60.0,405.8464847464412
50,25.312328767123287,8.9,False,Action,PS,1970.0,1787.6586928026845
51,25.312328767123287,7.8,False,Role-Playing,PS,170.0,879.6735199243209
53,25.312328767123287,7.3,True,Racing,PS,290.0,785.5591107227793
55,25.312328767123287,7.7,True,Fighting,PS,80.0,1016.635911504308
57,25.312328767123287,8.8,True,Racing,PS,100.0,2065.9915110010484
58,25.312328767123287,6.3,False,Strategy,PS,70.0,334.48131047900324
59,25.312328767123287,5.8,False,Platform,PS,70.0,242.31965116395727
61,25.312328767123287,6.9,False,Puzzle,PS,70.0,492.4381841997809
62,25.312328767123287,8.5,False,Shooter,PS,580.0,1381.331858438853
64,25.312328767123287,6.0,False,Racing,PS,50.0,275.6651868739205
65,25.312328767123287,8.3,True,Sports,PS,200.0,1496.736369325177
69,25.312328767123287,6.3,True,Sports,PS,100.0,412.2991390379542
70,25.312328767123287,7.3,False,Role-Playing,PS,60.0,637.2917523582016
73,25.312328767123287,9.1,True,Fighting,PS,1890.0,2506.792953707941
74,25.312328767123287,7.0,True,Simulation,PC,1690.0,647.4242125749487
75,25.312328767123287,8.7,True,Racing,PS,250.0,1937.0101146309887
77,25.312328767123287,8.1,False,Role-Playing,PS,140.0,1067.3612982278282
79,24.30958904109589,8.6,True,Sports,PS,60.0,1694.3572438896547
80,24.30958904109589,8.5,True,Shooter,PS,870.0,1588.577252973469
81,24.30958904109589,8.9,True,Role-Playing,PS,170.0,2055.8665306367006
82,24.30958904109589,9.1,True,Action,N64,90.0,2338.7737174165286
83,24.30958904109589,8.6,True,Fighting,PS,410.0,1694.3572438896547
84,24.30958904109589,5.5,True,Strategy,PC,100.0,229.67250848245845
85,24.30958904109589,8.3,False,Platform,PS,440.0,1132.8554004693808
86,24.30958904109589,8.9,False,Shooter,N64,320.0,1667.8398430368393
87,24.30958904109589,8.2,True,Fighting,PS,270.0,1309.2374120319637
