response,app_id
"{'player_count': 18138, 'result': 1}",10
"{'player_count': 75, 'result': 1}",20
"{'player_count': 174, 'result': 1}",30
"{'player_count': 7, 'result': 1}",40
"{'player_count': 113, 'result': 1}",50
"{'player_count': 6, 'result': 1}",60
"{'player_count': 686, 'result': 1}",70
"{'player_count': 611, 'result': 1}",80
"{'player_count': 42, 'result': 1}",100
"{'player_count': 60, 'result': 1}",130
"{'player_count': 944, 'result': 1}",220
"{'player_count': 7293, 'result': 1}",240
"{'player_count': 43, 'result': 1}",280
"{'player_count': 688, 'result': 1}",300
"{'player_count': 200, 'result': 1}",320
"{'player_count': 23, 'result': 1}",340
"{'player_count': 7, 'result': 1}",360
"{'player_count': 164, 'result': 1}",380
"{'player_count': 477, 'result': 1}",400
"{'player_count': 214, 'result': 1}",420
"{'player_count': 84882, 'result': 1}",440
"{'player_count': 520, 'result': 1}",500
"{'player_count': 14213, 'result': 1}",550
"{'player_count': 394584, 'result': 1}",570
"{'player_count': 2584, 'result': 1}",620
"{'player_count': 50, 'result': 1}",630
"{'player_count': 896884, 'result': 1}",730
"{'player_count': 399, 'result': 1}",1250
"{'player_count': 26, 'result': 1}",1520
"{'player_count': 1499, 'result': 1}",1840
"{'player_count': 31, 'result': 1}",1930
"{'player_count': 99, 'result': 1}",2100
"{'player_count': 7, 'result': 1}",2400
"{'player_count': 360, 'result': 1}",2630
"{'player_count': 102, 'result': 1}",2700
"{'player_count': 1385, 'result': 1}",3590
"{'player_count': 63, 'result': 1}",3830
"{'player_count': 730, 'result': 1}",3900
"{'player_count': 1436, 'result': 1}",3910
"{'player_count': 201, 'result': 1}",3990
"{'player_count': 30684, 'result': 1}",4000
"{'player_count': 353, 'result': 1}",4500
"{'player_count': 128, 'result': 1}",4560
"{'player_count': 174, 'result': 1}",4570
"{'player_count': 371, 'result': 1}",4580
"{'player_count': 4379, 'result': 1}",4700
"{'player_count': 1585, 'result': 1}",4760
"{'player_count': 266, 'result': 1}",4920
"{'player_count': 68, 'result': 1}",6000
"{'player_count': 170, 'result': 1}",6020
"{'player_count': 386, 'result': 1}",6060
"{'player_count': 30, 'result': 1}",6850
"{'player_count': 87, 'result': 1}",6860
"{'player_count': 8, 'result': 1}",6880
"{'player_count': 9, 'result': 1}",6900
"{'player_count': 61, 'result': 1}",6910
"{'player_count': 5, 'result': 1}",6920
"{'player_count': 115, 'result': 1}",7670
"{'player_count': 77, 'result': 1}",7760
"{'player_count': 616, 'result': 1}",7940
"{'player_count': 219, 'result': 1}",8190
"{'player_count': 5478, 'result': 1}",8500
"{'player_count': 1594, 'result': 1}",8800
"{'player_count': 71, 'result': 1}",8850
"{'player_count': 834, 'result': 1}",8870
"{'player_count': 21429, 'result': 1}",8930
"{'player_count': 150, 'result': 1}",8980
"{'player_count': 104, 'result': 1}",9200
"{'player_count': 50, 'result': 1}",9340
"{'player_count': 102, 'result': 1}",9350
"{'player_count': 666, 'result': 1}",9420
"{'player_count': 1195, 'result': 1}",9450
"{'player_count': 131, 'result': 1}",9480
"{'player_count': 145, 'result': 1}",9880
"{'player_count': 1952, 'result': 1}",9900
"{'player_count': 937, 'result': 1}",10090
"{'player_count': 561, 'result': 1}",10180
"{'player_count': 3706, 'result': 1}",10500
"{'player_count': 112, 'result': 1}",10680
"{'player_count': 639, 'result': 1}",11020
"{'player_count': 46, 'result': 1}",11450
"{'player_count': 184, 'result': 1}",12100
"{'player_count': 486, 'result': 1}",12110
"{'player_count': 1647, 'result': 1}",12120
"{'player_count': 245, 'result': 1}",12200
"{'player_count': 2023, 'result': 1}",12210
"{'player_count': 0, 'result': 1}",12220
"{'player_count': 40, 'result': 1}",12710
"{'player_count': 53, 'result': 1}",12810
"{'player_count': 21, 'result': 1}",12900
"{'player_count': 1, 'result': 1}",13140
"{'player_count': 49, 'result': 1}",13210
"{'player_count': 137, 'result': 1}",13520
"{'player_count': 257, 'result': 1}",15100
"{'player_count': 253, 'result': 1}",15620
"{'player_count': 31, 'result': 1}",15700
"{'player_count': 44, 'result': 1}",16450
"{'player_count': 236, 'result': 1}",16810
"{'player_count': 9, 'result': 1}",17080
"{'player_count': 56, 'result': 1}",17300
"{'player_count': 16, 'result': 1}",17330
"{'player_count': 975, 'result': 1}",17390
"{'player_count': 79, 'result': 1}",17410
"{'player_count': 84, 'result': 1}",17430
"{'player_count': 65, 'result': 1}",17440
"{'player_count': 194, 'result': 1}",17450
"{'player_count': 253, 'result': 1}",17460
"{'player_count': 193, 'result': 1}",17470
"{'player_count': 379, 'result': 1}",17480
"{'player_count': 44, 'result': 1}",17500
"{'player_count': 38, 'result': 1}",17570
"{'player_count': 220, 'result': 1}",19900
"{'player_count': 13, 'result': 1}",20500
"{'player_count': 197, 'result': 1}",20510
"{'player_count': 83, 'result': 1}",20540
"{'player_count': 85, 'result': 1}",20570
"{'player_count': 809, 'result': 1}",20900
"{'player_count': 757, 'result': 1}",20920
"{'player_count': 48, 'result': 1}",21090
"{'player_count': 38, 'result': 1}",21100
"{'player_count': 9, 'result': 1}",21110
"{'player_count': 6, 'result': 1}",21120
"{'player_count': 407, 'result': 1}",21690
"{'player_count': 15, 'result': 1}",22000
