appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,languages,genre,ccu,tags
10,Counter-Strike,Valve,Valve,,173541,4456,0,"10,000,000 .. 20,000,000",9398,445,212,130,999,999,0,"English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean",Action,19133,"{'Action': 5342, 'FPS': 4756, 'Multiplayer': 3315, 'Shooter': 3298, 'Classic': 2731, 'Team-Based': 1821, 'First-Person': 1670, 'Competitive': 1567, 'Tactical': 1307, ""1990's"": 1167, 'e-sports': 1159, 'PvP': 849, 'Old School': 731, 'Military': 616, 'Strategy': 603, 'Survival': 293, 'Score Attack': 282, '1980s': 252, 'Assassin': 224, 'Violent': 63}"
20,Team Fortress Classic,Valve,Valve,,4787,823,0,"2,000,000 .. 5,000,000",772,0,12,0,499,499,0,"English, French, German, Italian, Spanish - Spain, Korean, Russian, Simplified Chinese, Traditional Chinese",Action,109,"{'Action': 738, 'FPS': 300, 'Multiplayer': 253, 'Classic': 226, 'Hero Shooter': 207, 'Shooter': 201, 'Team-Based': 183, 'Class-Based': 176, 'First-Person': 163, ""1990's"": 126, 'Old School': 101, 'Co-op': 88, 'Competitive': 64, 'Fast-Paced': 57, 'Retro': 51, 'Online Co-Op': 50, 'Violent': 40, 'Mod': 34, 'Remake': 34, 'Funny': 33}"
30,Day of Defeat,Valve,Valve,,4624,508,0,"5,000,000 .. 10,000,000",1045,2,16,2,499,499,0,"English, French, German, Italian, Spanish - Spain",Action,148,"{'FPS': 778, 'World War II': 244, 'Multiplayer': 198, 'Shooter': 183, 'Action': 156, 'War': 146, 'Team-Based': 129, 'Classic': 120, 'First-Person': 100, 'Class-Based': 75, 'Military': 62, 'Historical': 54, 'Tactical': 40, 'Co-op': 33, 'Singleplayer': 30, 'Difficult': 15, 'Retro': 14, 'Strategy': 14, 'World War I': 13, 'Old School': 12}"
40,Deathmatch Classic,Valve,Valve,,1703,364,0,"5,000,000 .. 10,000,000",812,0,30,0,499,499,0,"English, French, German, Italian, Spanish - Spain, Korean, Russian, Simplified Chinese, Traditional Chinese",Action,6,"{'Action': 627, 'FPS': 137, 'Classic': 105, 'Multiplayer': 95, 'Shooter': 93, 'First-Person': 69, 'Arena Shooter': 44, 'Sci-fi': 33, 'Old School': 32, 'Competitive': 23, 'Fast-Paced': 15, 'Co-op': 14, 'Retro': 13, 'Gore': 12, 'Difficult': 11, ""1990's"": 9}"
50,Half-Life: Opposing Force,Gearbox Software,Valve,,10657,556,0,"5,000,000 .. 10,000,000",774,0,85,0,499,499,0,"English, French, German, Korean",Action,114,"{'FPS': 873, 'Action': 314, 'Classic': 242, 'Sci-fi': 239, 'Singleplayer': 220, 'Shooter': 216, 'First-Person': 183, 'Aliens': 166, ""1990's"": 130, 'Adventure': 110, 'Atmospheric': 102, 'Military': 86, 'Story Rich': 71, 'Silent Protagonist': 60, 'Great Soundtrack': 47, 'Gore': 35, 'Co-op': 32, 'Puzzle': 32, 'Moddable': 26, 'Retro': 14}"
60,Ricochet,Valve,Valve,,3426,794,0,"5,000,000 .. 10,000,000",869,0,5,0,499,499,0,"English, French, German, Italian, Spanish - Spain, Korean, Russian, Simplified Chinese, Traditional Chinese",Action,8,"{'Action': 582, 'FPS': 124, 'Multiplayer': 98, 'Classic': 87, 'First-Person': 75, 'Sci-fi': 51, 'Shooter': 47, 'Space': 40, 'Cyberpunk': 38, 'Memes': 29, 'Platformer': 26, 'Conspiracy': 25, 'Psychological Horror': 24, '3D': 24, 'Old School': 22, 'Retro': 21, 'Cult Classic': 16, 'Competitive': 14, 'Sports': 11, 'Anime': 7}"
70,Half-Life,Valve,Valve,,57279,2060,0,"5,000,000 .. 10,000,000",599,145,144,171,999,999,0,"English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean",Action,715,"{'FPS': 2183, 'Action': 1720, 'Sci-fi': 1718, 'Singleplayer': 1715, 'Shooter': 1711, ""1990's"": 1705, 'First-Person': 1705, 'Multiplayer': 1705, 'Aliens': 1700, 'Story Rich': 1697, 'Silent Protagonist': 1695, 'Adventure': 1695, 'Atmospheric': 1690, 'Moddable': 1690, 'Action-Adventure': 1687, 'Retro': 1686, 'Difficult': 1684, 'Linear': 1684, 'PvP': 1682, 'Gore': 1681}"
80,Counter-Strike: Condition Zero,Valve,Valve,,16991,1695,0,"5,000,000 .. 10,000,000",497,226,37,226,999,999,0,"English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean",Action,601,"{'Action': 1351, 'FPS': 1001, 'Shooter': 740, 'Multiplayer': 594, 'First-Person': 453, 'Classic': 387, 'Singleplayer': 382, 'Tactical': 362, 'Team-Based': 310, 'Competitive': 299, 'Strategy': 177, 'Online Co-Op': 171, 'Military': 165, 'Adventure': 88, 'Survival': 75, 'Atmospheric': 60, 'Open World': 48, 'Simulation': 42, 'Dark': 42, 'Old School': 37}"
130,Half-Life: Blue Shift,Gearbox Software,Valve,,7675,768,0,"5,000,000 .. 10,000,000",922,0,53,0,499,499,0,"English, French, German",Action,65,"{'FPS': 449, 'Action': 275, 'Sci-fi': 206, 'Singleplayer': 188, 'Shooter': 169, 'Aliens': 145, 'First-Person': 136, 'Classic': 134, 'Zombies': 88, 'Adventure': 87, ""1990's"": 78, 'Short': 72, 'Atmospheric': 67, 'Silent Protagonist': 47, 'Story Rich': 42, 'Puzzle': 22, 'Great Soundtrack': 19, 'Moddable': 19, 'Retro': 15, 'Gore': 8}"
220,Half-Life 2,Valve,Valve,,116539,3212,0,"10,000,000 .. 20,000,000",705,136,325,136,999,999,0,"English, French, German, Italian, Korean, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Dutch, Danish, Finnish, Japanese, Norwegian, Polish, Portuguese, Swedish, Thai",Action,1048,"{'FPS': 3789, 'Action': 2683, 'Sci-fi': 2335, 'Classic': 2132, 'Singleplayer': 2050, 'Story Rich': 1743, 'Shooter': 1582, 'First-Person': 1472, 'Adventure': 1263, 'Dystopian ': 1101, 'Atmospheric': 1016, 'Zombies': 929, 'Silent Protagonist': 897, 'Physics': 868, 'Aliens': 849, 'Great Soundtrack': 827, 'Horror': 651, 'Puzzle': 642, 'Multiplayer': 624, 'Moddable': 431}"
240,Counter-Strike: Source,Valve,Valve,,115525,4714,0,"10,000,000 .. 20,000,000",9371,371,424,684,999,999,0,"English, French, German, Italian, Japanese, Korean, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Thai, Turkish",Action,6439,"{'Shooter': 5202, 'Action': 3119, 'FPS': 3077, 'Multiplayer': 2441, 'Team-Based': 1624, 'First-Person': 1428, 'Tactical': 1287, 'Competitive': 1277, 'PvP': 983, 'e-sports': 877, 'Military': 718, 'War': 626, 'Strategy': 493, 'Moddable': 468, 'Difficult': 370, 'Singleplayer': 364, 'Atmospheric': 284, 'Survival': 278, 'Simulation': 244, 'Sandbox': 201}"
280,Half-Life: Source,Valve,Valve,,6742,2220,0,"2,000,000 .. 5,000,000",301,0,120,0,999,999,0,"English, French, German, Italian, Japanese, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Thai, Korean",Action,63,"{'FPS': 370, 'Action': 276, 'Classic': 219, 'Sci-fi': 200, 'Singleplayer': 185, 'Shooter': 167, 'First-Person': 164, 'Aliens': 138, ""1990's"": 111, 'Zombies': 107, 'Story Rich': 106, 'Adventure': 89, 'Remake': 81, 'Atmospheric': 77, 'Horror': 50, 'Silent Protagonist': 49, 'Multiplayer': 48, 'Moddable': 38, 'Great Soundtrack': 34, 'Gore': 12}"
300,Day of Defeat: Source,Valve,Valve,,14279,1445,0,"5,000,000 .. 10,000,000",3265,19,137,19,999,999,0,English,Action,720,"{'FPS': 612, 'World War II': 459, 'Multiplayer': 334, 'Action': 306, 'Shooter': 279, 'Team-Based': 227, 'Military': 226, 'War': 207, 'First-Person': 167, 'Historical': 135, 'Class-Based': 134, 'Classic': 122, 'Tactical': 106, 'Realistic': 92, 'Online Co-Op': 61, 'Strategy': 45, 'Gore': 42, 'Massively Multiplayer': 36, 'Simulation': 29, 'Comedy': 19}"
320,Half-Life 2: Deathmatch,Valve,Valve,,8390,947,0,"10,000,000 .. 20,000,000",1641,0,36,0,499,499,0,English,Action,231,"{'Action': 859, 'FPS': 475, 'Multiplayer': 398, 'Shooter': 254, 'First-Person': 235, 'Sci-fi': 176, 'Physics': 172, 'Competitive': 135, 'Funny': 102, 'Co-op': 93, 'Old School': 85, 'PvP': 59, 'Arena Shooter': 45, 'Atmospheric': 37, 'Moddable': 36, 'Adventure': 28, 'Great Soundtrack': 21, 'Singleplayer': 14, 'Online Co-Op': 9, 'Puzzle': 7}"
340,Half-Life 2: Lost Coast,Valve,Valve,,7789,1175,0,"20,000,000 .. 50,000,000",33,0,20,0,0,0,0,"English, French, German, Italian, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Korean",Action,23,"{'FPS': 1009, 'Action': 349, 'Singleplayer': 295, 'First-Person': 240, 'Sci-fi': 236, 'Shooter': 213, 'Short': 206, 'Aliens': 112, 'Dystopian ': 103, 'Classic': 101, 'Adventure': 98, 'Futuristic': 85, 'Benchmark': 84, 'Atmospheric': 82, 'Silent Protagonist': 72, 'Free to Play': 54, 'Multiplayer': 36, 'Post-apocalyptic': 35, 'Story Rich': 33, 'Great Soundtrack': 28}"
360,Half-Life Deathmatch: Source,Valve,Valve,,2056,667,0,"5,000,000 .. 10,000,000",44,0,16,0,999,999,0,English,Action,15,"{'Action': 238, 'FPS': 154, 'Multiplayer': 118, 'Shooter': 93, 'Sci-fi': 82, 'First-Person': 72, 'Classic': 66, 'Remake': 22, 'Adventure': 14, 'Horror': 10, 'Competitive': 8, 'Fast-Paced': 7, 'Atmospheric': 7, 'Singleplayer': 5}"
