appid	game	genre_type	sentiment	count
70	Half-Life	Action	negative	5476
70	Half-Life	Action	neutral	5663
70	Half-Life	Action	positive	17266
240	Counter-Strike: Source	Action	negative	6660
240	Counter-Strike: Source	Action	neutral	10988
240	Counter-Strike: Source	Action	positive	25509
420	Half-Life 2: Episode Two	Action	negative	2723
420	Half-Life 2: Episode Two	Action	neutral	2740
420	Half-Life 2: Episode Two	Action	positive	5990
620	Portal 2	Action	negative	13786
620	Portal 2	Action	neutral	20045
620	Portal 2	Action	positive	73417
620	Portal 2	Adventure	negative	13786
620	Portal 2	Adventure	neutral	20045
620	Portal 2	Adventure	positive	73417
4000	Garry's Mod	Indie	negative	63344
4000	Garry's Mod	Indie	neutral	73525
4000	Garry's Mod	Indie	positive	194193
4000	Garry's Mod	Simulation	negative	63344
4000	Garry's Mod	Simulation	neutral	73525
4000	Garry's Mod	Simulation	positive	194193
8870	BioShock Infinite	Action	negative	7544
8870	BioShock Infinite	Action	neutral	6128
8870	BioShock Infinite	Action	positive	36542
8930	Sid Meier's Civilization V	Strategy	negative	20471
8930	Sid Meier's Civilization V	Strategy	neutral	16531
8930	Sid Meier's Civilization V	Strategy	positive	67088
32470	STAR WARS™ Empire at War: Gold Pack	Strategy	negative	2342
32470	STAR WARS™ Empire at War: Gold Pack	Strategy	neutral	2053
32470	STAR WARS™ Empire at War: Gold Pack	Strategy	positive	10190
35140	Batman: Arkham Asylum GOTY Edition	Action	negative	2323
35140	Batman: Arkham Asylum GOTY Edition	Action	neutral	2079
35140	Batman: Arkham Asylum GOTY Edition	Action	positive	10255
35140	Batman: Arkham Asylum GOTY Edition	Adventure	negative	2323
35140	Batman: Arkham Asylum GOTY Edition	Adventure	neutral	2079
35140	Batman: Arkham Asylum GOTY Edition	Adventure	positive	10255
39210	FINAL FANTASY XIV Online	Massively Multiplayer	negative	4223
39210	FINAL FANTASY XIV Online	Massively Multiplayer	neutral	3383
39210	FINAL FANTASY XIV Online	Massively Multiplayer	positive	15346
39210	FINAL FANTASY XIV Online	RPG	negative	4223
39210	FINAL FANTASY XIV Online	RPG	neutral	3383
39210	FINAL FANTASY XIV Online	RPG	positive	15346
40800	Super Meat Boy	Indie	negative	4166
40800	Super Meat Boy	Indie	neutral	2257
40800	Super Meat Boy	Indie	positive	7976
47890	The Sims(TM) 3	Simulation	negative	3833
47890	The Sims(TM) 3	Simulation	neutral	2324
47890	The Sims(TM) 3	Simulation	positive	8284
48700	Mount & Blade: Warband	Action	negative	10661
48700	Mount & Blade: Warband	Action	neutral	9981
48700	Mount & Blade: Warband	Action	positive	36902
48700	Mount & Blade: Warband	RPG	negative	10661
48700	Mount & Blade: Warband	RPG	neutral	9981
48700	Mount & Blade: Warband	RPG	positive	36902
55230	Saints Row: The Third	Action	negative	4945
55230	Saints Row: The Third	Action	neutral	3979
55230	Saints Row: The Third	Action	positive	14699
72850	The Elder Scrolls V: Skyrim	RPG	negative	30233
72850	The Elder Scrolls V: Skyrim	RPG	neutral	29578
72850	The Elder Scrolls V: Skyrim	RPG	positive	100170
105600	Terraria	Action	negative	58611
105600	Terraria	Action	neutral	70854
105600	Terraria	Action	positive	240160
105600	Terraria	Adventure	negative	58611
105600	Terraria	Adventure	neutral	70854
105600	Terraria	Adventure	positive	240160
105600	Terraria	Indie	negative	58611
105600	Terraria	Indie	neutral	70854
105600	Terraria	Indie	positive	240160
105600	Terraria	RPG	negative	58611
105600	Terraria	RPG	neutral	70854
105600	Terraria	RPG	positive	240160
107410	Arma 3	Action	negative	18528
